tech,cell_type,cell_name,from_pin,to_pin,pol,voltage,temp,delay,wp_sum,wn_sum,slew,cap,log_slew,log_cap,req_p,req_n,rc_p,rc_n,req_eff,rc_eff,wp_over_wn,pn_balance,is_inv,stack_pd,inv_v,inv_temp,is_labeled
ASAP7,OR2X2,OR2x2_ASAP7_6t_L,A,Y,rise,0.7,25.0,156.46,-0.6655462468384465,-0.7904849827765389,2.301029995666153,-1.336487520160051,2.301029995666153,-1.336487520160051,0.6655462489428767,0.7904849855277247,-0.67094127870002,-0.5460025426006588,0.6655462489428767,-0.67094127870002,1.3333333333333335,0.14285714285714285,0,1,1.4285714285714286,0.04,1
ASAP7,AND3X2,AND3x2_ASAP7_6t_L,A,Y,fall,0.7,25.0,48.0919,-0.5686362342325145,-0.5686362342325145,2.6020599913290483,-2.5406073614441,2.6020599913290483,-2.5406073614441,0.5686362359582722,0.5686362359582722,-1.9719712356846508,-1.9719712356846508,0.5686362359582722,-1.9719712356846508,1.0,0.0,0,1,1.4285714285714286,0.04,1
ASAP7,OR4X1,OR4x1_ASAP7_6t_L,A,Y,fall,0.7,25.0,41.035,-0.5686362342325145,-0.5686362342325145,1.0969100130428,-2.5406073614441,1.0969100130428,-2.5406073614441,0.5686362359582722,0.5686362359582722,-1.9719712356846508,-1.9719712356846508,0.5686362359582722,-1.9719712356846508,1.0,0.0,0,1,1.4285714285714286,0.04,1
ASAP7,AND3X1,AND3x1_ASAP7_6t_L,C,Y,rise,0.7,25.0,21.5658,-0.6655462468384465,-0.6655462468384465,0.7958800174135623,-3.14266690038237,0.7958800174135623,-3.14266690038237,0.6655462489428767,0.6655462489428767,-2.4771211244313376,-2.4771211244313376,0.6655462489428767,-2.4771211244313376,1.0,0.0,0,1,1.4285714285714286,0.04,1
ASAP7,AND2X4,AND2x4_ASAP7_6t_L,A,Y,rise,0.7,25.0,45.4672,-0.3645162521797766,-0.3645162521797766,2.6020599913290483,-1.9385474832136347,2.6020599913290483,-1.9385474832136347,0.3645162533727032,0.3645162533727032,-1.574031251441676,-1.574031251441676,0.3645162533727032,-1.574031251441676,1.0,0.0,0,1,1.4285714285714286,0.04,1
ASAP7,OR4X1,OR4x1_ASAP7_6t_L,D,Y,rise,0.7,25.0,244.181,-0.5686362342325145,-0.5686362342325145,1.6989700043447047,-1.336487520160051,1.6989700043447047,-1.336487520160051,0.5686362359582722,0.5686362359582722,-0.7678512911991375,-0.7678512911991375,0.5686362359582722,-0.7678512911991375,1.0,0.0,0,1,1.4285714285714286,0.04,1
ASAP7,OR4X2,OR4x2_ASAP7_6t_L,A,Y,rise,0.7,25.0,24.1941,-0.48945498845297275,-0.48945498845297275,2.0000000000043427,-2.8416372063114648,2.0000000000043427,-2.8416372063114648,0.4894549899340993,0.4894549899340993,-2.352182420395115,-2.352182420395115,0.4894549899340993,-2.352182420395115,1.0,0.0,0,1,1.4285714285714286,0.04,1
ASAP7,OR4X1,OR4x1_ASAP7_6t_L,C,Y,rise,0.7,25.0,246.321,-0.5686362342325145,-0.5686362342325145,2.0000000000043427,-1.336487520160051,2.0000000000043427,-1.336487520160051,0.5686362359582722,0.5686362359582722,-0.7678512911991375,-0.7678512911991375,0.5686362359582722,-0.7678512911991375,1.0,0.0,0,1,1.4285714285714286,0.04,1
ASAP7,NOR2X2,NOR2x2_ASAP7_6t_L,A,Y,fall,0.7,25.0,25.3258,-0.3645162521797766,-0.6655462468384465,2.0000000000043427,-2.5406073614441,2.0000000000043427,-2.5406073614441,0.3645162533727032,0.6655462489428767,-2.176091193911514,-1.875061230819615,0.6655462489428767,-1.875061230819615,1.9999999999999998,0.3333333333333333,0,1,1.4285714285714286,0.04,1
ASAP7,AND2X4,AND2x4_ASAP7_6t_L,A,Y,fall,0.7,25.0,111.445,-0.3645162521797766,-0.3645162521797766,1.3979400086894094,-1.0354575292084665,1.3979400086894094,-1.0354575292084665,0.3645162533727032,0.3645162533727032,-0.6709412787000198,-0.6709412787000198,0.3645162533727032,-0.6709412787000198,1.0,0.0,0,1,1.4285714285714286,0.04,1
ASAP7,AND3X1,AND3x1_ASAP7_6t_L,B,Y,fall,0.7,25.0,41.5003,-0.6655462468384465,-0.6655462468384465,2.6020599913290483,-3.14266690038237,2.6020599913290483,-3.14266690038237,0.6655462489428767,0.6655462489428767,-2.4771211244313376,-2.4771211244313376,0.6655462489428767,-2.4771211244313376,1.0,0.0,0,1,1.4285714285714286,0.04,1
ASAP7,AND2X4,AND2x4_ASAP7_6t_L,A,Y,fall,0.7,25.0,36.7474,-0.3645162521797766,-0.3645162521797766,2.301029995666153,-2.5406073614441,2.301029995666153,-2.5406073614441,0.3645162533727032,0.3645162533727032,-2.176091193911514,-2.176091193911514,0.3645162533727032,-2.176091193911514,1.0,0.0,0,1,1.4285714285714286,0.04,1
ASAP7,OR2X2,OR2x2_ASAP7_6t_L,B,Y,fall,0.7,25.0,222.462,-0.6655462468384465,-0.7904849827765389,2.0000000000043427,-1.0354575292084665,2.0000000000043427,-1.0354575292084665,0.6655462489428767,0.7904849855277247,-0.3699112840539164,-0.24497254770008592,0.7904849855277247,-0.24497254770008592,1.3333333333333335,0.14285714285714285,0,1,1.4285714285714286,0.04,1
