tech,cell_type,cell_name,from_pin,to_pin,pol,voltage,temp,delay,wp_sum,wn_sum,slew,cap,log_slew,log_cap,req_p,req_n,rc_p,rc_n,req_eff,rc_eff,wp_over_wn,pn_balance,is_inv,stack_pd,inv_v,inv_temp
Nangate45,NOR3X1,NOR3_X1,A1,ZN,fall,1.1,25.0,9.46368,0.27646180440302964,0.09516935178058604,0.4675267141308018,-2.3425195306039646,0.4675267141308018,-2.3425195306039646,-0.27646180335242765,-0.09516935089105848,-2.618981249723392,-2.437688858622027,-0.09516935089105848,-2.437688858622027,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
Nangate45,NOR3X1,NOR3_X1,A2,ZN,rise,1.1,25.0,111.221,0.27646180440302964,0.09516935178058604,2.6957770888750523,-2.6161324141450257,2.6957770888750523,-2.6161324141450257,-0.27646180335242765,-0.09516935089105848,-2.8925940586176315,-2.7113017216142397,-0.27646180335242765,-2.8925940586176315,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
Nangate45,NOR2X2,NOR2_X2,A1,ZN,rise,1.1,25.0,47.0734,0.4014005409538832,0.22010808830167825,1.0722471396325435,-1.8744699073800486,1.0722471396325435,-1.8744699073800486,-0.40140053968712197,-0.22010808731912615,-2.2758703987193933,-2.0945779739517794,-0.40140053968712197,-2.2758703987193933,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
Nangate45,NOR2X1,NOR2_X1,A2,ZN,fall,1.1,25.0,4.72393,0.1003705454622411,-0.08092190710067983,0.4675267141308018,-3.4369736191894456,0.4675267141308018,-3.4369736191894456,-0.1003705445703519,0.08092190798439065,-3.537343855468729,-3.356051913498359,0.08092190798439065,-3.356051913498359,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
Nangate45,BUFX4,BUF_X4,A,Z,rise,1.1,25.0,19.7922,0.5774917999521181,0.3961993472701517,1.0722471396325435,-2.1207784399803127,1.0722471396325435,-2.1207784399803127,-0.577491798195592,-0.3961993460143429,-2.6982700803738,-2.5169777016187864,-0.577491798195592,-2.6982700803738,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
Nangate45,NAND3X2,NAND3_X2,A2,ZN,fall,1.1,25.0,229.43099999999998,0.5774917999521181,0.3961993472701517,2.512153875582749,-0.9345248534156555,2.512153875582749,-0.9345248534156555,-0.577491798195592,-0.3961993460143429,-1.512016642869137,-1.3307241949460038,-0.3961993460143429,-1.3307241949460038,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
Nangate45,OR4X2,OR4_X2,A1,ZN,rise,1.1,25.0,50.3462,0.5774917999521181,0.3961993472701517,2.290366330174478,-1.8208418660352044,2.290366330174478,-1.8208418660352044,-0.577491798195592,-0.3961993460143429,-2.398333585949585,-2.217041170294594,-0.577491798195592,-2.398333585949585,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
Nangate45,INVX1,INV_X1,A,ZN,fall,1.1,25.0,6.4151,-0.20065944985706197,-0.3819519022414146,2.512153875582749,-2.7217470404567425,2.512153875582749,-2.7217470404567425,0.20065945082002382,0.3819519034681396,-2.5210876745810182,-2.339795271040075,0.3819519034681396,-2.339795271040075,1.5180722891566267,0.20574162679425848,1,1,0.9090909090909091,0.04
Nangate45,AND4X1,AND4_X1,A3,ZN,rise,1.1,25.0,85.5978,0.27646180440302964,0.09864372616310832,2.512153875582749,-2.4240031116171927,2.512153875582749,-2.4240031116171927,-0.27646180335242765,-0.09864372527201734,-2.7004648131833453,-2.522646808035586,-0.27646180335242765,-2.7004648131833453,1.50597609561753,0.20190779014308433,0,1,0.9090909090909091,0.04
Nangate45,OR4X2,OR4_X2,A1,ZN,rise,1.1,25.0,36.7324,0.5774917999521181,0.3961993472701517,2.6957770888750523,-2.1218729829204994,2.6957770888750523,-2.1218729829204994,-0.577491798195592,-0.3961993460143429,-2.6993646229116375,-2.5180722443433257,-0.577491798195592,-2.6993646229116375,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
Nangate45,AND3X1,AND3_X1,A1,ZN,fall,1.1,25.0,69.3638,0.1972805584013619,0.019116290862665523,2.290366330174478,-2.1218747078820197,2.290366330174478,-2.1218747078820197,-0.19728055744160553,-0.019116289993234985,-2.3191552329458123,-2.140990995741645,-0.019116289993234985,-2.140990995741645,1.5071770334928236,0.20229007633587803,0,1,0.9090909090909091,0.04
Nangate45,AND3X4,AND3_X4,A2,ZN,fall,1.1,25.0,130.668,0.7024305365316948,0.5211380838348477,2.6957770888750523,-0.9188507951009687,2.6957770888750523,-0.9188507951009687,-0.7024305342566811,-0.5211380822621785,-1.6212813169913514,-1.4399888704466062,-0.5211380822621785,-1.4399888704466062,1.518072289156627,0.2057416267942585,0,1,0.9090909090909091,0.04
Nangate45,NOR2X1,NOR2_X1,A2,ZN,fall,1.1,25.0,10.8072,0.1003705454622411,-0.08092190710067983,2.290366330174478,-3.078590833342172,2.290366330174478,-3.078590833342172,-0.1003705445703519,0.08092190798439065,-3.178961243143961,-2.9976690141939666,0.08092190798439065,-2.9976690141939666,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
Nangate45,OR3X2,OR3_X2,A3,ZN,rise,1.1,25.0,31.322599999999998,0.4983105539274718,0.31701810125741003,2.010552232202664,-3.4369736191894456,2.010552232202664,-3.4369736191894456,-0.49831055242157285,-0.31701810014695037,-3.9352816191306457,-3.7539904433114795,-0.49831055242157285,-3.9352816191306457,1.5180722891566267,0.20574162679425842,0,1,0.9090909090909091,0.04
Nangate45,NOR2X1,NOR2_X1,A1,ZN,fall,1.1,25.0,43.009699999999995,0.1003705454622411,-0.08092190710067983,2.290366330174478,-1.8744699073800486,2.290366330174478,-1.8744699073800486,-0.1003705445703519,0.08092190798439065,-1.9748404440403928,-1.7935480052858424,0.08092190798439065,-1.7935480052858424,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
Nangate45,OR3X4,OR3_X4,A1,ZN,rise,1.1,25.0,161.796,0.7993405495225173,0.6180480968167419,0.4675267141308018,-0.6156286606066997,0.4675267141308018,-0.6156286606066997,-0.7993405467175265,-0.6180480949097705,-1.4149692005610421,-1.233676751673018,-0.7993405467175265,-1.4149692005610421,1.5180722891566267,0.20574162679425842,0,1,0.9090909090909091,0.04
Nangate45,AND4X1,AND4_X1,A3,ZN,rise,1.1,25.0,227.33900000000003,0.27646180440302964,0.09864372616310832,2.512153875582749,-1.2198829488224292,2.512153875582749,-1.2198829488224292,-0.27646180335242765,-0.09864372527201734,-1.496344746582732,-1.3185266728020704,-0.27646180335242765,-1.496344746582732,1.50597609561753,0.20190779014308433,0,1,0.9090909090909091,0.04
Nangate45,NOR3X2,NOR3_X2,A3,ZN,rise,1.1,25.0,116.538,0.5774917999521181,0.3961993472701517,2.6957770888750523,-2.100476002014671,2.6957770888750523,-2.100476002014671,-0.577491798195592,-0.3961993460143429,-2.677967649690308,-2.496675267556168,-0.577491798195592,-2.677967649690308,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
Nangate45,OR2X4,OR2_X4,A2,ZN,rise,1.1,25.0,25.643800000000002,0.7024305365316948,0.5211380838348477,0.4675267141308018,-1.8197478994548788,0.4675267141308018,-1.8197478994548788,-0.7024305342566811,-0.5211380822621785,-2.5221783200457413,-2.3408859166285105,-0.7024305342566811,-2.5221783200457413,1.518072289156627,0.2057416267942585,0,1,0.9090909090909091,0.04
Nangate45,NAND3X2,NAND3_X2,A2,ZN,rise,1.1,25.0,45.8224,0.5774917999521181,0.3961993472701517,0.4675267141308018,-1.5365848335381391,0.4675267141308018,-1.5365848335381391,-0.577491798195592,-0.3961993460143429,-2.1140765918403925,-1.9327841583723253,-0.577491798195592,-2.1140765918403925,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
Nangate45,NAND2X1,NAND2_X1,A1,ZN,rise,1.1,25.0,145.56199999999998,0.1003705454622411,-0.08092190710067983,2.512153875582749,-1.527560964829828,2.512153875582749,-1.527560964829828,-0.1003705445703519,0.08092190798439065,-1.6279315061427067,-1.44663905969358,-0.1003705445703519,-1.6279315061427067,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
Nangate45,NAND2X1,NAND2_X1,A1,ZN,fall,1.1,25.0,11.0663,0.1003705454622411,-0.08092190710067983,1.6331122891064531,-3.4369736191894456,1.6331122891064531,-3.4369736191894456,-0.1003705445703519,0.08092190798439065,-3.537343855468729,-3.356051913498359,0.08092190798439065,-3.356051913498359,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
Nangate45,NOR3X2,NOR3_X2,A2,ZN,rise,1.1,25.0,71.6946,0.5774917999521181,0.3961993472701517,2.512153875582749,-3.0035658248034642,2.512153875582749,-3.0035658248034642,-0.577491798195592,-0.3961993460143429,-3.5810564073499354,-3.3997645194659616,-0.577491798195592,-3.5810564073499354,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
Nangate45,AND2X4,AND2_X4,A1,ZN,fall,1.1,25.0,50.536699999999996,0.7024305365316948,0.5211380838348477,1.6331122891064531,-1.2187854899376287,1.6331122891064531,-1.2187854899376287,-0.7024305342566811,-0.5211380822621785,-1.9212159973461937,-1.7399235569669746,-0.5211380822621785,-1.7399235569669746,1.518072289156627,0.2057416267942585,0,1,0.9090909090909091,0.04
Nangate45,OR3X4,OR3_X4,A2,ZN,fall,1.1,25.0,227.749,0.7993405495225173,0.6180480968167419,2.6957770888750523,-0.6156286606066997,2.6957770888750523,-0.6156286606066997,-0.7993405467175265,-0.6180480949097705,-1.4149692005610421,-1.233676751673018,-0.6180480949097705,-1.233676751673018,1.5180722891566267,0.20574162679425842,0,1,0.9090909090909091,0.04
Nangate45,NAND3X2,NAND3_X2,A3,ZN,rise,1.1,25.0,122.479,0.5774917999521181,0.3961993472701517,2.290366330174478,-1.2355548453444771,2.290366330174478,-1.2355548453444771,-0.577491798195592,-0.3961993460143429,-1.8130466244142156,-1.6317541813094378,-0.577491798195592,-1.8130466244142156,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
Nangate45,XOR2X2,XOR2_X2,A,Z,fall,1.1,25.0,74.738,0.7024305365316948,0.5211380838348477,2.010552232202664,-1.8987135430007658,2.010552232202664,-1.8987135430007658,-0.7024305342566811,-0.5211380822621785,-2.6011439404897003,-2.4198515469079425,-0.5211380822621785,-2.4198515469079425,1.518072289156627,0.2057416267942585,0,1,0.9090909090909091,0.04
Nangate45,BUFX16,BUF_X16,A,Z,fall,1.1,25.0,39.3068,1.179551791193911,0.9982593384673027,1.6331122891064531,-0.9183035208333243,1.6331122891064531,-0.9183035208333243,-1.1795517845986554,-0.9982593340981258,-2.097855261191635,-1.9165628270169643,-0.9982593340981258,-1.9165628270169643,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
Nangate45,OR2X2,OR2_X2,A1,ZN,rise,1.1,25.0,25.4296,0.4014005409538832,0.22010808830167825,2.010552232202664,-3.4369736191894456,2.010552232202664,-3.4369736191894456,-0.40140053968712197,-0.22010808731912615,-3.8383723544580066,-3.657080923255836,-0.40140053968712197,-3.8383723544580066,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
Nangate45,OR2X4,OR2_X4,A1,ZN,rise,1.1,25.0,162.539,0.7024305365316948,0.5211380838348477,1.0722471396325435,-0.6156286606066997,1.0722471396325435,-0.6156286606066997,-0.7024305342566811,-0.5211380822621785,-1.3180591898112954,-1.1367667401525783,-0.7024305342566811,-1.3180591898112954,1.518072289156627,0.2057416267942585,0,1,0.9090909090909091,0.04
Nangate45,AND2X2,AND2_X2,A1,ZN,rise,1.1,25.0,45.1453,0.4014005409538832,0.22010808830167825,2.010552232202664,-2.1218729829204994,2.010552232202664,-2.1218729829204994,-0.40140053968712197,-0.22010808731912615,-2.523273436304176,-2.341981033011478,-0.40140053968712197,-2.523273436304176,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
Nangate45,XOR2X2,XOR2_X2,B,Z,fall,1.1,25.0,57.296,0.7024305365316948,0.5211380838348477,1.0722471396325435,-2.1997421284637872,1.0722471396325435,-2.1997421284637872,-0.7024305342566811,-0.5211380822621785,-2.902172386997078,-2.7208800525746373,-0.5211380822621785,-2.7208800525746373,1.518072289156627,0.2057416267942585,0,1,0.9090909090909091,0.04
Nangate45,XNOR2X2,XNOR2_X2,A,ZN,rise,1.1,25.0,38.184999999999995,0.7024305365316948,0.5211380838348477,1.6331122891064531,-2.186815394252985,1.6331122891064531,-2.186815394252985,-0.7024305342566811,-0.5211380822621785,-2.889245660936409,-2.707953323044111,-0.7024305342566811,-2.889245660936409,1.518072289156627,0.2057416267942585,0,1,0.9090909090909091,0.04
Nangate45,NOR3X1,NOR3_X1,A2,ZN,fall,1.1,25.0,32.0269,0.27646180440302964,0.09516935178058604,1.6331122891064531,-1.7952913774092631,1.6331122891064531,-1.7952913774092631,-0.27646180335242765,-0.09516935089105848,-2.0717531574575982,-1.8904607221998915,-0.09516935089105848,-1.8904607221998915,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
Nangate45,NAND3X1,NAND3_X1,A1,ZN,fall,1.1,25.0,82.2203,0.27646180440302964,0.09516935178058604,2.290366330174478,-1.8359089599087233,2.290366330174478,-1.8359089599087233,-0.27646180335242765,-0.09516935089105848,-2.112370737591888,-1.9310783040482653,-0.09516935089105848,-1.9310783040482653,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
